DATE,CSUSHPISA
2004-01-01,141.64700000000002
2004-02-01,143.19299999999998
2004-03-01,145.059
2004-04-01,146.593
2004-05-01,148.185
2004-06-01,149.85
2004-07-01,151.338
2004-08-01,152.63299999999998
2004-09-01,154.179
2004-10-01,155.75
2004-11-01,157.52700000000002
2004-12-01,159.329
2005-01-01,161.28799999999998
2005-02-01,163.343
2005-03-01,165.812
2005-04-01,167.50099999999998
2005-05-01,169.35
2005-06-01,171.19
2005-07-01,172.86
2005-08-01,174.442
2005-09-01,176.438
2005-10-01,178.028
2005-11-01,179.68099999999998
2005-12-01,180.91
2006-01-01,182.32
2006-02-01,183.287
2006-03-01,184.364
2006-04-01,184.329
2006-05-01,184.15599999999998
2006-06-01,183.507
2006-07-01,183.06799999999998
2006-08-01,182.59400000000002
2006-09-01,182.799
2006-10-01,183.2
2006-11-01,183.61
2006-12-01,184.14
2007-01-01,184.518
2007-02-01,184.59900000000002
2007-03-01,184.15
2007-04-01,183.011
2007-05-01,181.602
2007-06-01,180.25400000000002
2007-07-01,179.111
2007-08-01,178.11700000000002
2007-09-01,177.558
2007-10-01,176.62400000000002
2007-11-01,175.14700000000002
2007-12-01,174.342
2008-01-01,173.13299999999998
2008-02-01,171.542
2008-03-01,170.054
2008-04-01,168.338
2008-05-01,166.65900000000002
2008-06-01,165.018
2008-07-01,163.56799999999998
2008-08-01,161.99
2008-09-01,160.309
2008-10-01,158.328
2008-11-01,156.143
2008-12-01,153.618
2009-01-01,151.505
2009-02-01,150.013
2009-03-01,148.66
2009-04-01,147.94899999999998
2009-05-01,147.695
2009-06-01,148.09
2009-07-01,148.411
2009-08-01,148.27700000000002
2009-09-01,148.025
2009-10-01,147.849
2009-11-01,148.13299999999998
2009-12-01,147.928
2010-01-01,147.395
2010-02-01,145.632
2010-03-01,145.86
2010-04-01,146.40200000000002
2010-05-01,146.393
2010-06-01,145.719
2010-07-01,144.988
2010-08-01,143.911
2010-09-01,143.015
2010-10-01,142.528
2010-11-01,142.172
2010-12-01,142.063
2011-01-01,141.526
2011-02-01,140.355
2011-03-01,139.987
2011-04-01,140.011
2011-05-01,139.904
2011-06-01,139.86
2011-07-01,139.72899999999998
2011-08-01,139.30700000000002
2011-09-01,138.668
2011-10-01,137.953
2011-11-01,137.155
2011-12-01,136.67600000000002
2012-01-01,136.609
2012-02-01,136.533
2012-03-01,137.906
2012-04-01,139.157
2012-05-01,140.158
2012-06-01,141.03
2012-07-01,141.66899999999998
2012-08-01,142.279
2012-09-01,142.909
2012-10-01,143.602
2012-11-01,144.586
2012-12-01,145.504
2013-01-01,146.835
2013-02-01,147.784
2013-03-01,149.965
2013-04-01,151.52100000000002
2013-05-01,152.852
2013-06-01,154.194
2013-07-01,155.602
2013-08-01,156.97
2013-09-01,158.231
2013-10-01,159.243
2013-11-01,160.07299999999998
2013-12-01,160.996
2014-01-01,161.94299999999998
2014-02-01,162.528
2014-03-01,163.091
2014-04-01,163.398
2014-05-01,163.665
2014-06-01,164.046
2014-07-01,164.572
2014-08-01,165.22
2014-09-01,165.91
2014-10-01,166.645
2014-11-01,167.33700000000002
2014-12-01,168.05900000000003
2015-01-01,168.658
2015-02-01,169.138
2015-03-01,169.81
2015-04-01,170.30900000000003
2015-05-01,170.892
2015-06-01,171.44400000000002
2015-07-01,172.123
2015-08-01,172.94400000000002
2015-09-01,173.838
2015-10-01,174.80200000000002
2015-11-01,175.74900000000002
2015-12-01,176.56
2016-01-01,177.297
2016-02-01,177.65900000000002
2016-03-01,178.18099999999998
2016-04-01,178.78599999999997
2016-05-01,179.45
2016-06-01,180.06400000000002
2016-07-01,180.83700000000002
2016-08-01,181.86599999999999
2016-09-01,182.83599999999998
2016-10-01,183.76
2016-11-01,184.75799999999998
2016-12-01,185.71099999999998
2017-01-01,186.792
2017-02-01,187.295
2017-03-01,188.002
2017-04-01,188.77700000000002
2017-05-01,189.696
2017-06-01,190.52900000000002
2017-07-01,191.47799999999998
2017-08-01,192.71
2017-09-01,193.77700000000002
2017-10-01,194.791
2017-11-01,195.90599999999998
2017-12-01,197.08900000000003
2018-01-01,198.205
2018-02-01,199.146
2018-03-01,199.967
2018-04-01,200.78099999999998
2018-05-01,201.62400000000002
2018-06-01,202.359
2018-07-01,203.00799999999998
2018-08-01,203.78099999999998
2018-09-01,204.36700000000002
2018-10-01,205.05599999999998
2018-11-01,205.551
2018-12-01,205.957
2019-01-01,206.28900000000002
2019-02-01,206.674
2019-03-01,207.05900000000003
2019-04-01,207.747
2019-05-01,208.52599999999998
2019-06-01,208.946
2019-07-01,209.47299999999998
2019-08-01,210.24599999999998
2019-09-01,210.95
2019-10-01,211.65200000000002
2019-11-01,212.575
2019-12-01,213.567
2020-01-01,214.53799999999998
2020-02-01,215.52900000000002
2020-03-01,216.398
2020-04-01,217.19299999999998
2020-05-01,217.61900000000003
2020-06-01,218.143
2020-07-01,219.68200000000002
2020-08-01,222.6
2020-09-01,225.90599999999998
2020-10-01,229.49200000000002
2020-11-01,232.865
2020-12-01,235.888
2021-01-01,238.845
2021-02-01,241.828
2021-03-01,245.48
2021-04-01,249.679
2021-05-01,254.442
2021-06-01,259.222
2021-07-01,263.282
2021-08-01,267.144
2021-09-01,270.47700000000003
2021-10-01,273.268
2021-11-01,276.66200000000003
2021-12-01,280.411
2022-01-01,284.818
2022-02-01,290.343
2022-03-01,296.415
2022-04-01,301.324
2022-05-01,305.312
2022-06-01,306.04200000000003
2022-07-01,304.36400000000003
2022-08-01,301.601
2022-09-01,299.324
