,DATE,CSUSHPISA,MORTGAGE30US,CASTHPI,CPIAUCSL,CAUR,CAPCPI,CSUSHPISA/CPIAUCSL
2456,1983-09-01,0.0,0.6958698372966208,0.08507405139370848,0.19473482657193372,0.43902439024390244,0.1153862964204024,0.16072110044933918
2457,1983-08-26,0.0,0.6964956195244055,0.08507405139370848,0.19473482657193372,0.43902439024390244,0.1153862964204024,0.16072110044933918
2458,1983-08-19,0.0,0.7033792240300376,0.08507405139370848,0.19473482657193372,0.43902439024390244,0.1153862964204024,0.16072110044933918
2459,1983-08-12,0.0,0.700250312891114,0.08507405139370848,0.19473482657193372,0.43902439024390244,0.1153862964204024,0.16072110044933918
2460,1983-08-05,0.0,0.693366708385482,0.08507405139370848,0.19473482657193372,0.43902439024390244,0.1153862964204024,0.16072110044933918
2461,1983-08-01,0.0,0.693366708385482,0.08507405139370848,0.1935126414679257,0.45528455284552855,0.1153862964204024,0.16348900640006425
2462,1983-07-29,0.0,0.688360450563204,0.08507405139370848,0.1935126414679257,0.45528455284552855,0.1153862964204024,0.16348900640006425
2463,1983-07-22,0.0,0.683979974968711,0.08507405139370848,0.1935126414679257,0.45528455284552855,0.1153862964204024,0.16348900640006425
2464,1983-07-15,0.0,0.6789737171464331,0.08507405139370848,0.1935126414679257,0.45528455284552855,0.1153862964204024,0.16348900640006425
2465,1983-07-08,0.0,0.6664580725907385,0.08507405139370848,0.1935126414679257,0.45528455284552855,0.1153862964204024,0.16348900640006425
2466,1983-07-01,0.0,0.6526908635794744,0.08448436188791363,0.1922904563639178,0.4796747967479675,0.1153862964204024,0.16627355306792757
2467,1983-06-24,0.0,0.6451814768460576,0.08448436188791363,0.1922904563639178,0.4796747967479675,0.1153862964204024,0.16627355306792757
2468,1983-06-17,0.0,0.6451814768460576,0.08448436188791363,0.1922904563639178,0.4796747967479675,0.1153862964204024,0.16627355306792757
2469,1983-06-10,0.0,0.6364205256570714,0.08448436188791363,0.1922904563639178,0.4796747967479675,0.1153862964204024,0.16627355306792757
2470,1983-06-03,0.0,0.6314142678347936,0.08448436188791363,0.1922904563639178,0.4796747967479675,0.1153862964204024,0.16627355306792757
2471,1983-06-01,0.0,0.6314142678347936,0.08448436188791363,0.19066087622524056,0.5040650406504066,0.1153862964204024,0.1700124279365144
2472,1983-05-27,0.0,0.6276595744680852,0.08448436188791363,0.19066087622524056,0.5040650406504066,0.1153862964204024,0.1700124279365144
2473,1983-05-20,0.0,0.6195244055068837,0.08448436188791363,0.19066087622524056,0.5040650406504066,0.1153862964204024,0.1700124279365144
2474,1983-05-13,0.0,0.6220275344180226,0.08448436188791363,0.19066087622524056,0.5040650406504066,0.1153862964204024,0.1700124279365144
2475,1983-05-06,0.0,0.6295369211514394,0.08448436188791363,0.19066087622524056,0.5040650406504066,0.1153862964204024,0.1700124279365144
2476,1983-05-01,0.0,0.6295369211514394,0.08448436188791363,0.1898460861559019,0.5284552845528456,0.1153862964204024,0.17189317245206348
2477,1983-04-29,0.0,0.6307884856070088,0.08448436188791363,0.1898460861559019,0.5284552845528456,0.1153862964204024,0.17189317245206348
2478,1983-04-22,0.0,0.6320400500625782,0.08448436188791363,0.1898460861559019,0.5284552845528456,0.1153862964204024,0.17189317245206348
2479,1983-04-15,0.0,0.6345431789737171,0.08448436188791363,0.1898460861559019,0.5284552845528456,0.1153862964204024,0.17189317245206348
2480,1983-04-08,0.0,0.6364205256570714,0.08448436188791363,0.1898460861559019,0.5284552845528456,0.1153862964204024,0.17189317245206348
2481,1983-04-01,0.0,0.6364205256570714,0.08469982536118482,0.18821650601722464,0.5447154471544715,0.1153862964204024,0.17567750453395803
2482,1983-03-25,0.0,0.6389236545682103,0.08469982536118482,0.18821650601722464,0.5447154471544715,0.1153862964204024,0.17567750453395803
2483,1983-03-18,0.0,0.6357947434292867,0.08469982536118482,0.18821650601722464,0.5447154471544715,0.1153862964204024,0.17567750453395803
2484,1983-03-11,0.0,0.6345431789737171,0.08469982536118482,0.18821650601722464,0.5447154471544715,0.1153862964204024,0.17567750453395803
2485,1983-03-04,0.0,0.6314142678347936,0.08469982536118482,0.18821650601722464,0.5447154471544715,0.1153862964204024,0.17567750453395803
2486,1983-03-01,0.0,0.6314142678347936,0.08469982536118482,0.18536474077453938,0.5691056910569106,0.1153862964204024,0.18237434499692318
2487,1983-02-25,0.0,0.6464330413016272,0.08469982536118482,0.18536474077453938,0.5691056910569106,0.1153862964204024,0.18237434499692318
2488,1983-02-18,0.0,0.6520650813516897,0.08469982536118482,0.18536474077453938,0.5691056910569106,0.1153862964204024,0.18237434499692318
